Recto:Entry,Recto:Exit,Legarda:Entry,Legarda:Exit,Pureza:Entry,Pureza:Exit,V. Mapa:Entry,V. Mapa:Exit,J. Ruiz:Entry,J. Ruiz:Exit,Gilmore:Entry,Gilmore:Exit,Betty-Go Belmonte:Entry,Betty-Go Belmonte:Exit,Araneta Cubao:Entry,Araneta Cubao:Exit,Anonas:Entry,Anonas:Exit,Katipunan:Entry,Katipunan:Exit,Santolan:Entry,Santolan:Exit,Marikina-Pasig:Entry,Marikina-Pasig:Exit,Antipolo:Entry,Antipolo:Exit
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
95.40,0.00,11.20,0.00,25.80,0.00,16.20,0.00,4.20,0.00,6.60,0.00,4.40,0.00,52.00,0.00,26.40,0.00,63.20,0.00,49.40,0.00,122.40,0.00,189.60,0.00
554.80,1021.00,104.60,361.60,188.80,149.00,203.00,155.20,52.60,74.00,38.60,99.00,54.00,43.00,538.00,736.20,270.40,184.00,541.20,129.80,334.00,72.80,1209.00,111.60,1803.60,102.60
1325.00,2451.40,226.60,1813.60,498.20,466.00,574.00,315.00,228.80,225.20,163.80,385.80,157.00,198.60,1277.00,2211.80,594.20,1172.20,840.40,637.20,723.60,166.60,2681.60,302.80,3997.80,315.80
1801.20,3360.20,300.40,1535.80,661.20,661.60,703.60,564.20,240.20,407.60,181.20,768.40,215.80,377.20,1389.20,2925.80,717.60,1435.20,930.00,716.40,704.00,221.00,1981.80,494.00,3058.60,421.60
1542.80,3035.60,265.20,1115.40,452.40,644.40,488.20,460.80,175.20,280.40,179.60,624.80,145.00,284.40,1171.60,2318.40,582.00,867.60,838.60,523.80,512.20,167.20,1643.80,486.60,2226.20,431.60
1403.60,2305.40,296.40,845.00,333.60,507.40,355.20,449.80,141.40,154.40,134.20,467.00,121.80,172.60,931.00,1817.20,461.20,570.00,665.00,375.40,348.20,142.40,1265.20,414.60,1633.00,421.40
1413.40,2191.60,405.40,846.20,344.00,421.20,345.40,333.60,122.60,87.80,146.40,296.60,94.40,84.80,921.00,1593.80,461.40,495.20,618.80,355.20,264.40,162.20,1020.20,516.20,1296.60,450.80
1705.80,1838.00,713.20,703.20,396.20,377.20,356.80,376.20,113.60,84.40,181.40,267.20,101.60,89.20,960.00,1684.00,496.60,462.00,604.40,364.60,284.60,193.40,956.40,614.40,1275.40,554.60
2153.60,1955.00,945.60,829.80,503.40,452.60,397.80,491.60,130.40,116.00,205.20,303.60,97.60,100.80,1129.80,1998.00,675.40,541.00,672.40,415.40,284.20,254.40,975.80,872.80,1212.80,780.00
2139.60,1841.40,977.40,628.60,483.80,436.00,445.20,443.60,120.00,119.60,196.00,346.40,98.20,117.00,1186.60,1956.20,700.80,606.20,642.40,424.80,234.40,263.20,907.00,991.80,999.40,940.60
2304.20,1795.80,983.20,523.80,531.80,402.40,479.80,409.80,124.00,118.80,229.20,277.60,102.20,91.60,1252.20,1811.20,605.40,506.00,622.40,435.80,214.60,274.60,747.20,1084.40,786.00,1006.60
2528.20,1795.60,1103.20,433.60,533.40,371.60,516.20,438.80,155.20,119.00,313.60,258.40,126.20,108.40,1499.60,2045.00,608.40,553.60,613.20,468.00,207.60,337.20,685.20,1341.40,771.80,1286.20
3162.60,1885.60,1228.40,437.00,649.20,422.40,639.40,510.40,223.00,162.60,529.80,268.20,181.00,114.60,1912.80,2063.20,751.00,663.40,745.40,501.60,264.00,424.60,769.00,1605.80,773.80,1671.20
3701.60,2240.20,1374.00,504.40,793.20,610.20,916.60,739.60,407.80,217.40,990.00,301.20,322.00,161.20,2760.00,2550.60,1240.60,906.20,926.40,585.00,335.80,645.40,863.20,2298.80,823.80,2532.00
3285.40,2117.60,1197.80,461.60,663.20,701.80,836.80,784.80,301.00,194.60,675.20,255.00,267.80,153.20,2909.80,2622.40,886.80,750.20,705.40,631.80,289.80,717.80,752.00,2451.20,793.40,2962.80
2313.20,1564.20,831.00,359.20,460.80,491.00,576.40,554.20,166.40,159.80,340.60,164.60,117.80,94.20,2444.80,1989.20,560.20,618.20,426.40,515.00,203.80,547.00,598.60,1912.20,643.00,2176.00
1455.40,969.20,580.00,297.40,340.00,308.00,421.60,399.80,78.20,102.40,173.80,101.40,75.80,69.60,1725.00,1414.60,272.80,436.60,297.60,349.60,150.20,356.60,413.00,1301.80,411.60,1534.80
379.40,310.00,205.00,99.20,87.20,109.40,127.80,100.80,17.60,33.00,42.00,32.60,20.40,24.80,509.20,465.00,44.00,180.00,23.40,183.20,10.00,188.00,17.60,707.40,0.00,902.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,2.40,0.00,10.80,0.00,52.40
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
