Recto:Entry,Recto:Exit,Legarda:Entry,Legarda:Exit,Pureza:Entry,Pureza:Exit,V. Mapa:Entry,V. Mapa:Exit,J. Ruiz:Entry,J. Ruiz:Exit,Gilmore:Entry,Gilmore:Exit,Betty-Go Belmonte:Entry,Betty-Go Belmonte:Exit,Araneta Cubao:Entry,Araneta Cubao:Exit,Anonas:Entry,Anonas:Exit,Katipunan:Entry,Katipunan:Exit,Santolan:Entry,Santolan:Exit,Marikina-Pasig:Entry,Marikina-Pasig:Exit,Antipolo:Entry,Antipolo:Exit
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139.75,0.00,8.75,0.00,27.25,0.00,22.50,0.00,6.75,0.00,5.75,0.00,2.50,0.00,53.75,0.00,28.25,0.00,81.00,0.00,68.50,0.00,165.25,0.00,267.50,0.00
791.75,1339.50,100.00,570.50,216.25,227.75,203.75,167.75,81.00,95.50,63.75,100.50,65.00,49.25,479.75,903.50,380.75,212.75,726.75,145.00,462.00,105.00,1648.00,126.00,2492.50,113.00
1566.75,3066.25,232.75,2760.00,558.50,551.00,655.25,359.00,302.25,239.50,196.25,380.00,209.50,194.25,1265.75,2397.00,771.50,1158.50,889.75,635.75,896.00,224.50,2868.25,362.75,4741.25,265.75
1982.25,3652.75,303.25,2206.75,775.75,669.50,786.00,623.50,279.50,438.00,184.50,701.50,234.00,337.25,1325.50,3015.75,803.00,1783.50,1007.50,818.00,889.75,225.75,2706.00,507.00,4114.50,434.50
1642.00,3642.25,224.75,1519.25,480.50,789.75,496.00,633.75,194.25,431.25,182.00,694.75,164.25,377.00,1162.75,2864.25,617.75,1224.00,1037.50,669.50,636.25,170.50,2267.50,499.50,2822.00,400.75
1598.75,2563.00,540.50,1100.00,330.25,706.00,334.75,507.25,141.75,192.00,130.25,472.25,129.00,183.00,996.25,2124.25,509.25,757.75,773.00,458.00,396.25,148.00,1532.50,500.75,2082.00,373.25
1553.25,2388.00,741.50,1013.00,368.75,704.50,313.00,457.00,102.50,135.25,141.75,325.75,104.50,110.25,951.00,1821.75,544.75,595.50,586.50,368.00,292.50,179.00,1138.00,633.00,1450.25,513.50
1698.00,1745.50,881.25,817.25,431.00,529.00,325.75,448.25,108.75,110.75,153.25,296.50,89.50,96.00,960.00,1821.25,566.25,501.50,583.00,359.00,251.75,186.00,1096.00,786.25,1415.50,628.00
1732.50,1886.75,933.00,1085.75,518.25,499.25,411.50,424.25,104.00,97.50,196.00,276.25,124.75,98.50,1165.00,1817.00,621.75,545.75,617.00,418.00,278.00,241.50,1057.50,828.50,1199.00,738.75
1799.75,1740.25,864.25,704.25,556.75,508.00,421.25,413.75,113.25,101.50,181.00,282.25,93.00,88.25,1204.00,1636.50,592.75,570.25,547.50,397.00,239.50,245.25,840.00,919.75,962.00,819.75
2009.00,1765.75,882.50,593.25,574.50,381.75,461.25,384.75,123.50,108.25,235.50,250.00,75.50,75.25,1228.00,1617.25,583.50,497.75,468.25,407.25,188.25,261.25,707.50,1022.00,698.00,948.75
2442.75,1573.00,1233.75,438.75,707.50,377.00,556.25,443.75,171.25,113.00,271.75,236.50,109.50,100.00,1490.75,1709.00,619.50,564.50,532.25,390.50,187.50,329.50,597.25,1251.75,682.25,1119.50
3150.75,1795.75,1385.25,488.50,744.50,432.50,684.75,531.75,218.25,151.00,476.50,231.50,175.00,114.50,1970.25,1929.25,844.00,749.25,688.00,562.75,227.00,453.50,650.25,1842.50,674.50,1817.50
3785.50,2046.50,1742.50,479.00,728.50,639.50,861.25,785.50,368.00,218.50,866.50,274.00,297.50,165.25,2732.00,2447.75,1263.75,858.25,917.00,617.75,295.50,684.00,777.00,2308.75,708.00,2371.00
3258.50,1862.75,1452.25,507.00,541.75,717.25,745.25,800.25,285.25,223.00,642.50,230.00,251.00,153.75,2914.25,2309.50,914.00,891.25,659.25,632.75,237.25,727.25,698.00,2683.75,643.75,2981.25
2162.75,1296.25,993.00,367.25,363.75,498.25,481.50,541.00,126.25,162.00,304.00,158.50,116.50,103.50,2350.50,1670.50,540.50,632.00,374.75,461.75,206.50,577.00,519.25,2051.25,543.00,2265.50
1302.25,840.00,582.75,267.50,264.00,322.50,358.50,365.75,68.00,100.00,149.00,90.25,62.00,64.50,1450.00,1198.25,234.75,396.50,237.25,311.50,114.50,349.50,325.75,1175.75,341.25,1413.75
342.25,246.50,205.25,84.25,55.75,95.50,147.75,91.00,14.50,27.75,30.00,21.75,12.25,30.25,228.50,394.25,38.25,154.25,12.75,144.00,6.25,155.50,11.00,575.25,0.00,694.50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.25,0.00,12.00,0.00,17.50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
