Recto:Entry,Recto:Exit,Legarda:Entry,Legarda:Exit,Pureza:Entry,Pureza:Exit,V. Mapa:Entry,V. Mapa:Exit,J. Ruiz:Entry,J. Ruiz:Exit,Gilmore:Entry,Gilmore:Exit,Betty-Go Belmonte:Entry,Betty-Go Belmonte:Exit,Araneta Cubao:Entry,Araneta Cubao:Exit,Anonas:Entry,Anonas:Exit,Katipunan:Entry,Katipunan:Exit,Santolan:Entry,Santolan:Exit,Marikina-Pasig:Entry,Marikina-Pasig:Exit,Antipolo:Entry,Antipolo:Exit
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
86.00,0.00,8.60,0.00,21.00,0.00,12.60,0.00,2.80,0.00,6.40,0.00,1.20,0.00,28.60,0.00,15.80,0.00,34.80,0.00,28.00,0.00,65.40,0.00,105.40,0.00
419.80,544.20,101.20,179.00,127.80,124.20,129.60,116.60,32.20,42.40,30.00,69.80,27.00,26.60,416.60,434.00,129.80,86.80,314.40,82.40,152.00,53.40,592.20,105.80,999.60,119.60
935.60,1549.00,149.60,934.40,236.40,314.00,314.00,281.60,107.60,111.00,73.60,214.40,69.80,83.20,981.20,1032.60,326.40,328.80,591.80,212.00,313.20,105.00,1184.60,279.40,1755.60,311.60
1253.00,2086.60,165.20,1088.20,339.00,467.60,393.80,372.00,135.00,164.80,101.00,432.80,109.00,184.60,1032.80,1377.60,425.00,576.00,628.80,294.00,348.20,164.00,1184.60,405.00,1803.60,445.20
1158.20,2172.80,182.60,754.20,282.40,423.20,336.80,321.40,123.20,153.60,103.60,359.40,105.80,156.60,958.60,1426.00,386.00,403.40,628.80,300.00,343.00,128.60,1063.00,410.60,1597.60,441.80
1270.40,1863.80,272.00,617.20,304.60,378.20,325.80,375.00,113.40,88.20,96.40,386.00,99.40,97.00,870.80,1516.40,386.00,327.80,603.60,284.20,313.60,145.20,1001.40,480.60,1407.40,470.20
1353.60,1986.00,410.80,567.60,328.20,311.20,317.60,320.80,93.80,75.80,119.40,289.40,89.00,57.60,936.40,1524.80,417.40,340.20,584.20,262.20,295.80,142.60,962.80,530.20,1241.80,522.80
1643.40,1960.60,577.40,623.80,398.40,308.20,343.00,359.40,102.20,92.60,137.00,301.80,82.60,80.80,984.00,1817.00,448.80,345.40,602.60,322.40,266.40,180.20,982.40,661.40,1319.40,650.40
1883.00,1822.20,663.40,552.00,438.80,352.20,424.60,451.40,136.60,88.60,209.00,328.80,86.40,76.00,1110.00,2008.40,470.80,420.60,644.40,357.00,290.20,196.80,989.60,767.20,1271.00,838.80
2035.80,1990.80,729.20,571.60,504.40,355.60,452.60,473.60,124.60,100.00,224.20,328.20,94.20,90.40,1276.80,2045.20,544.00,517.20,667.40,373.00,298.00,234.00,963.40,920.40,1079.00,889.20
2120.80,1867.80,738.80,443.40,535.40,335.00,495.60,460.60,142.60,104.00,273.20,327.40,105.40,87.60,1405.80,2114.40,540.40,503.80,584.00,369.00,272.40,261.00,851.20,1046.60,983.00,1090.00
2483.40,1815.60,963.00,389.60,536.20,357.60,564.00,445.00,162.80,118.80,380.20,290.40,138.80,72.80,1574.80,2080.80,588.00,504.60,540.60,444.00,280.60,307.80,829.60,1200.00,850.80,1310.60
2954.40,1948.80,1105.20,454.80,611.20,380.80,687.00,505.40,204.20,127.60,550.40,282.20,142.20,97.60,1881.00,2277.40,692.00,545.80,621.40,499.40,304.40,409.80,854.20,1445.20,879.00,1807.80
3111.20,2040.00,1094.00,425.80,653.40,454.20,869.20,611.80,228.00,141.60,723.20,274.20,170.00,113.60,2162.40,2527.80,705.00,646.80,660.20,550.40,327.40,507.40,901.20,1783.00,873.80,2305.80
2856.60,1702.00,833.20,351.00,485.00,436.40,649.80,561.60,172.00,156.80,510.20,204.20,123.40,97.40,2074.20,2114.40,529.60,545.40,484.40,530.00,290.00,494.00,774.20,1731.40,767.80,2458.80
1805.20,1324.00,625.80,310.80,308.20,352.80,464.20,430.00,84.80,115.00,299.60,116.20,77.60,69.60,1757.40,1546.40,366.80,430.80,326.20,377.20,239.60,402.20,598.20,1353.80,623.40,2006.40
1238.00,893.60,416.20,236.00,241.20,287.80,335.20,287.40,52.00,75.40,161.80,77.80,41.60,49.00,1412.60,1044.80,173.40,304.80,204.40,287.20,162.20,294.40,403.40,892.40,430.80,1316.80
299.40,364.00,123.20,103.80,49.40,102.60,105.40,90.60,14.40,30.20,32.20,19.60,14.00,23.20,424.00,337.80,23.00,150.60,10.60,165.60,17.60,151.00,19.00,561.00,0.00,785.20
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.80,0.00,34.80
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
