Recto:Entry,Recto:Exit,Legarda:Entry,Legarda:Exit,Pureza:Entry,Pureza:Exit,V. Mapa:Entry,V. Mapa:Exit,J. Ruiz:Entry,J. Ruiz:Exit,Gilmore:Entry,Gilmore:Exit,Betty-Go Belmonte:Entry,Betty-Go Belmonte:Exit,Araneta Cubao:Entry,Araneta Cubao:Exit,Anonas:Entry,Anonas:Exit,Katipunan:Entry,Katipunan:Exit,Santolan:Entry,Santolan:Exit,Marikina-Pasig:Entry,Marikina-Pasig:Exit,Antipolo:Entry,Antipolo:Exit
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
81.75,0.00,10.00,0.00,11.25,0.00,9.75,0.00,1.75,0.00,1.50,0.00,1.25,0.00,22.25,0.00,9.00,0.00,32.25,0.25,15.50,0.00,41.75,0.00,64.00,0.00
299.00,381.25,83.75,109.00,64.50,58.25,81.50,71.25,18.00,26.00,27.00,44.25,15.50,15.75,198.75,224.25,65.00,56.75,190.50,61.75,73.75,29.25,232.25,59.25,418.50,93.75
529.50,706.75,129.25,164.75,121.00,99.75,114.50,175.00,43.25,37.75,38.00,65.00,28.50,29.00,350.25,433.25,129.00,92.25,241.50,122.50,109.75,48.00,357.25,146.50,608.00,227.50
725.25,1003.75,110.75,226.25,151.50,143.75,178.25,157.75,51.25,43.75,37.25,106.50,41.25,40.00,458.50,629.75,170.25,104.00,309.75,157.50,149.25,86.75,483.50,206.75,750.75,381.50
920.75,1272.25,127.50,252.00,206.50,175.50,203.50,227.25,74.75,61.25,65.25,156.75,67.75,57.00,605.25,861.00,262.25,143.00,399.25,157.25,209.50,89.75,563.00,292.25,957.75,387.25
1069.50,1418.00,185.75,320.25,229.00,174.00,224.75,265.75,86.25,62.00,73.75,282.00,65.00,57.25,656.00,1123.75,295.25,159.50,443.50,193.00,217.75,135.00,623.50,339.25,1029.50,517.00
1119.00,1695.25,197.75,247.25,237.25,179.50,251.75,271.00,83.50,58.25,83.50,192.25,80.00,46.50,686.25,1249.50,294.00,178.25,441.75,193.75,236.25,126.25,661.25,409.75,992.00,469.75
1311.50,1568.75,267.50,248.00,259.75,164.50,311.75,390.25,77.00,55.75,105.00,251.50,78.75,53.50,786.75,1472.50,326.75,198.50,465.50,237.50,212.75,156.75,693.75,415.50,1119.25,551.50
1467.50,1684.25,439.00,362.00,282.25,173.25,376.00,304.75,73.25,68.75,142.25,277.50,81.00,68.75,953.50,1544.50,321.75,253.25,430.75,265.75,224.50,188.00,695.50,589.50,985.75,593.50
1611.75,1608.00,319.50,280.00,322.75,223.25,381.25,331.75,86.00,68.50,157.25,279.50,67.75,55.25,1021.50,1549.75,355.50,315.75,439.00,297.50,216.50,185.25,692.00,523.50,981.00,709.50
1701.50,1771.75,322.75,323.25,304.50,191.50,387.25,300.25,111.25,77.00,193.75,238.75,69.00,59.00,1145.25,1538.50,330.50,317.25,388.50,300.00,219.25,227.75,677.75,669.75,934.50,753.75
1760.75,1608.00,431.25,348.00,301.25,253.25,396.00,364.00,108.75,72.25,220.25,253.50,77.25,64.75,1295.50,1474.25,339.50,413.50,374.25,394.00,235.00,196.50,634.25,728.00,928.00,869.50
1999.25,1525.50,356.25,459.00,277.75,279.75,373.00,322.00,101.00,73.50,265.25,220.25,83.25,57.75,1268.25,1543.25,308.50,333.00,362.75,354.75,200.75,260.75,695.25,742.50,912.00,896.50
2015.00,1352.25,419.00,389.00,287.25,324.50,425.25,453.25,93.25,107.75,253.50,177.00,74.00,69.75,1371.75,1468.00,299.25,414.00,414.25,357.00,206.25,269.00,642.75,863.75,877.25,1007.00
1882.25,1292.00,471.00,435.25,255.00,363.50,381.75,430.25,91.75,115.00,271.25,147.75,56.00,72.50,1398.75,1383.25,266.50,396.75,270.50,348.50,184.75,321.25,590.00,835.25,855.00,1103.00
1372.75,1102.50,268.75,370.25,152.00,394.50,332.50,407.50,51.50,112.75,183.50,91.00,45.00,54.50,1261.75,1157.25,186.75,340.75,244.50,265.25,143.00,230.00,522.00,753.75,757.50,914.75
904.75,848.25,149.25,369.25,116.75,279.75,292.00,267.00,30.75,76.00,129.50,68.50,31.25,30.75,1078.50,718.75,114.25,229.25,176.75,214.25,102.75,213.50,415.75,540.50,492.00,768.50
208.50,355.25,50.75,146.00,26.25,108.75,138.00,75.25,8.25,28.25,26.25,11.00,13.00,25.00,195.00,248.50,14.00,117.50,8.50,109.75,9.25,84.75,11.00,341.75,0.00,407.50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.75,0.00,21.50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
