Recto:Entry,Recto:Exit,Legarda:Entry,Legarda:Exit,Pureza:Entry,Pureza:Exit,V. Mapa:Entry,V. Mapa:Exit,J. Ruiz:Entry,J. Ruiz:Exit,Gilmore:Entry,Gilmore:Exit,Betty-Go Belmonte:Entry,Betty-Go Belmonte:Exit,Araneta Cubao:Entry,Araneta Cubao:Exit,Anonas:Entry,Anonas:Exit,Katipunan:Entry,Katipunan:Exit,Santolan:Entry,Santolan:Exit,Marikina-Pasig:Entry,Marikina-Pasig:Exit,Antipolo:Entry,Antipolo:Exit
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
107.75,0.00,8.75,0.00,28.50,0.00,19.00,0.00,6.00,0.00,5.50,0.00,2.25,0.00,48.25,0.00,29.50,0.25,62.25,0.00,60.25,0.00,135.25,0.00,196.25,0.00
611.75,1115.50,103.50,578.25,190.25,167.50,228.25,176.25,71.00,84.50,64.00,98.75,59.75,40.25,638.25,781.00,340.00,302.00,658.00,158.50,483.50,104.25,1651.50,140.75,2161.75,120.00
1501.50,2804.50,241.50,2274.25,553.50,525.50,682.00,341.00,274.00,219.00,213.25,358.75,202.75,298.25,1507.75,2477.75,784.75,1268.00,944.75,752.75,885.75,202.50,3307.25,307.00,4772.50,303.75
1886.25,3900.00,296.50,2362.00,706.25,785.25,795.75,581.50,295.00,440.50,238.75,825.25,261.50,411.25,1552.75,3246.50,857.00,1796.50,1064.75,890.50,852.50,234.25,2550.50,533.00,3511.50,427.25
1573.25,3416.00,266.25,1745.50,455.25,846.00,508.50,518.75,198.50,360.75,192.00,722.50,171.75,350.25,1261.00,2587.50,671.75,1038.25,923.00,647.50,592.00,165.25,1840.50,473.25,2451.00,408.50
1283.50,2333.00,365.25,1071.75,362.00,588.25,360.75,447.75,141.25,158.25,127.00,454.00,119.75,166.25,1036.25,1869.00,498.50,623.50,711.25,422.75,372.00,161.50,1425.75,454.50,1742.25,352.75
1330.25,2116.50,446.75,1029.25,342.75,512.50,283.75,365.75,117.50,106.50,126.50,313.50,108.25,95.75,951.25,1572.50,482.00,528.00,593.50,361.00,298.50,123.00,1171.50,427.75,1380.75,451.50
1573.50,1958.00,678.00,1038.75,429.00,463.00,340.00,391.75,111.25,86.75,150.25,239.25,101.25,75.50,1059.25,1613.25,498.25,519.50,606.25,365.00,304.00,185.00,1138.50,574.00,1291.25,497.25
1739.50,1700.75,951.75,1146.00,436.00,458.75,382.00,406.25,133.00,112.25,201.00,303.25,117.50,100.75,1120.50,1730.50,585.75,585.25,610.75,409.00,290.00,222.50,1037.75,766.00,1169.00,675.00
1811.25,1681.00,963.50,837.00,470.25,459.00,397.25,358.75,103.75,104.75,172.50,272.75,97.75,85.50,1048.25,1539.00,650.25,554.50,555.75,355.75,240.75,231.75,875.75,857.00,907.75,731.50
2077.50,1693.00,1044.25,686.00,547.50,411.00,422.75,365.75,121.00,109.75,212.00,252.50,97.75,87.75,1202.50,1634.00,565.50,530.00,523.00,469.25,195.75,282.00,684.50,1104.00,742.00,949.25
2593.00,1593.00,1399.50,545.75,600.25,424.00,506.25,444.25,152.25,116.00,267.75,241.00,119.25,118.75,1515.25,1795.25,640.25,587.25,608.50,435.75,182.75,367.75,589.00,1383.00,554.75,1201.50
3195.25,1694.00,1692.50,583.75,707.00,504.00,611.75,524.00,240.25,159.25,555.50,267.00,175.50,130.25,1976.25,1925.50,897.50,736.25,884.75,551.75,262.50,435.50,650.00,1722.50,637.50,1650.25
3947.50,2121.50,2138.75,560.00,930.25,656.75,826.75,808.50,381.25,240.50,979.75,291.50,344.25,162.50,2800.25,2619.00,1300.25,988.75,1155.00,686.00,322.00,712.00,725.00,2687.25,687.25,2767.75
3758.00,2032.50,1965.00,527.75,790.00,836.50,798.75,984.00,313.75,264.50,726.25,256.50,287.25,199.00,3103.50,2623.25,1022.00,921.50,821.50,688.25,225.00,810.25,696.00,2851.25,674.00,2966.50
2350.25,1541.50,1411.00,400.50,522.50,572.25,614.50,677.00,147.25,204.25,378.00,187.50,134.00,132.50,2498.75,2171.50,666.00,740.50,449.50,516.00,193.25,680.75,600.25,2413.25,536.50,2546.00
1607.25,955.50,799.75,302.75,347.00,328.00,417.50,418.50,75.00,114.25,167.25,108.75,61.50,70.50,1729.50,1432.00,313.00,466.75,316.75,355.75,140.00,423.00,354.25,1449.25,359.00,1538.75
387.25,312.50,249.75,96.25,94.00,94.00,166.75,105.75,13.75,41.00,29.75,31.75,19.25,33.75,287.75,493.75,51.00,185.75,20.50,161.75,7.00,183.00,13.00,780.00,0.50,837.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.00,4.00,0.00,42.25
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
