Recto:Entry,Recto:Exit,Legarda:Entry,Legarda:Exit,Pureza:Entry,Pureza:Exit,V. Mapa:Entry,V. Mapa:Exit,J. Ruiz:Entry,J. Ruiz:Exit,Gilmore:Entry,Gilmore:Exit,Betty-Go Belmonte:Entry,Betty-Go Belmonte:Exit,Araneta Cubao:Entry,Araneta Cubao:Exit,Anonas:Entry,Anonas:Exit,Katipunan:Entry,Katipunan:Exit,Santolan:Entry,Santolan:Exit,Marikina-Pasig:Entry,Marikina-Pasig:Exit,Antipolo:Entry,Antipolo:Exit
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113.25,0.00,6.50,0.00,22.25,0.00,19.25,0.00,4.75,0.00,5.50,0.00,4.00,0.00,51.75,0.00,29.75,0.00,77.00,0.00,67.00,0.00,146.75,0.00,240.25,0.00
610.00,1041.00,93.00,530.75,200.75,174.00,229.00,169.75,76.75,88.00,70.25,108.50,68.25,40.75,642.00,848.25,384.25,326.25,700.50,161.25,480.25,108.75,1613.25,141.25,2307.50,125.50
1508.25,2832.25,242.50,2778.75,586.25,514.75,703.00,363.75,301.00,225.25,213.75,395.75,216.50,214.00,1505.75,2344.50,818.75,1218.25,933.25,674.00,906.50,217.75,2899.50,329.75,4696.50,303.00
1929.75,3659.25,289.00,2435.75,731.25,736.25,841.50,641.50,302.00,451.50,241.50,853.00,245.75,378.50,1551.25,3157.00,847.25,1817.25,1095.50,909.50,885.25,218.75,2883.00,507.00,3404.50,443.50
1573.00,3487.75,251.75,1795.75,468.50,729.25,526.75,614.25,198.50,410.50,182.00,732.50,190.50,356.25,1229.75,2739.00,647.50,1147.25,940.25,622.75,587.50,169.75,1985.00,477.00,2650.75,366.75
1303.00,2260.50,325.25,1115.50,349.25,638.75,349.25,496.25,156.50,155.25,161.00,511.75,131.00,168.25,1006.25,1984.00,510.00,648.50,709.75,411.50,370.00,144.25,1486.75,375.00,1899.50,369.75
1314.00,2256.00,423.50,1061.25,338.00,499.00,303.00,371.00,105.50,100.25,154.50,269.25,104.00,92.25,950.00,1527.25,489.00,555.50,606.25,365.50,299.75,141.00,1095.50,497.75,1378.50,397.75
1523.25,2079.00,723.25,1125.25,417.25,409.25,343.25,405.00,112.25,85.50,157.75,242.75,101.75,78.50,986.25,1609.75,549.75,533.00,623.75,329.25,330.00,168.50,1133.00,561.00,1352.50,509.50
1719.00,1571.00,886.75,1344.00,462.25,439.25,377.75,394.00,126.25,97.25,240.00,298.75,122.25,96.25,1143.50,1749.75,649.25,608.50,642.50,381.00,308.00,231.50,1033.25,743.25,1158.00,672.00
1830.00,1826.75,969.25,922.25,518.50,440.00,405.75,353.50,101.75,122.00,196.00,273.50,101.25,91.00,1052.25,1559.25,636.75,591.25,432.75,377.75,231.50,230.75,795.50,852.75,853.75,758.25
2037.00,1549.00,1063.00,625.25,510.25,366.25,421.75,383.00,117.25,103.50,207.75,227.75,86.50,92.25,1152.75,1556.00,574.50,525.00,481.50,363.00,193.25,271.50,678.50,982.00,662.75,911.75
2384.25,1631.25,1620.75,500.00,525.75,361.50,513.75,426.00,153.50,141.75,287.25,247.50,115.75,118.25,1488.00,1778.00,700.75,588.50,609.00,471.75,217.00,357.75,611.50,1431.50,597.50,1273.25
3221.75,1622.00,1714.00,502.50,640.25,445.00,626.00,544.75,242.25,170.50,523.00,289.75,200.50,137.00,1966.00,1915.75,963.75,771.75,856.75,535.25,268.50,461.00,651.00,1919.25,640.00,1727.50
3771.75,2075.25,2069.25,535.75,760.75,650.25,840.50,781.00,397.00,214.50,1034.50,301.75,312.50,186.00,2774.25,2607.00,1372.75,933.00,1071.00,651.25,324.50,716.00,736.00,2530.25,710.75,2654.00
3586.00,2048.25,2020.00,508.50,642.75,817.00,859.50,878.25,326.25,253.75,702.00,250.00,284.25,176.50,3112.50,2623.25,1146.25,985.25,793.00,731.25,253.25,823.25,720.50,2984.00,679.25,3087.75
2429.50,1450.75,1414.75,372.00,451.25,527.25,517.00,609.75,152.75,192.75,351.50,189.50,120.50,119.50,2583.25,1922.00,695.00,734.00,402.00,522.50,197.25,706.25,544.25,2382.25,532.25,2545.50
1448.75,886.00,793.25,290.25,339.50,318.75,362.75,398.00,63.50,109.25,161.50,118.50,70.00,82.25,1699.25,1417.50,287.50,455.00,254.50,379.75,130.50,416.50,349.75,1408.25,358.50,1601.75
419.50,320.25,324.00,103.75,93.25,113.50,183.75,124.75,22.00,39.25,35.75,27.00,13.50,32.75,278.75,496.25,59.75,199.50,27.25,176.00,4.00,191.00,15.00,741.00,0.00,786.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1.00,0.00,2.50,0.00,31.25,0.00,68.50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
